add-none,2,100,400,163455,408,0
add-none,2,1000,4000,211857,52,515
add-none,2,10000,40000,805575,20,-4591
add-none,2,100000,400000,6396163,15,-47006
add-none,4,100,800,165939,207,92
add-none,4,1000,8000,229058,28,979
add-none,4,10000,80000,1412629,17,-1963
add-none,4,100000,800000,15170271,18,-23915
add-none,8,100,1600,245832,153,0
add-none,8,1000,16000,343956,21,1076
add-none,8,10000,160000,2908501,18,7065
add-none,8,100000,1600000,28289043,17,-66885
add-none,12,100,2400,506868,211,0
add-none,12,1000,24000,603476,25,1771
add-none,12,10000,240000,4450499,18,7375
add-none,12,100000,2400000,45185804,18,-14152
add-yield-none,2,10,40,124373,3109,0
add-yield-none,2,20,80,140330,1754,4
add-yield-none,2,40,160,141743,885,0
add-yield-none,2,80,320,142604,445,31
add-yield-none,2,100,400,182243,455,37
add-yield-none,2,1000,4000,846603,211,3
add-yield-none,2,10000,40000,6199929,154,-213
add-yield-none,2,100000,400000,52613080,131,-2162
add-yield-none,4,10,80,187523,2344,0
add-yield-none,4,20,160,179217,1120,0
add-yield-none,4,40,320,186671,583,21
add-yield-none,4,80,640,212649,332,102
add-yield-none,4,100,800,207069,258,47
add-yield-none,4,1000,8000,894438,111,-7
add-yield-none,4,10000,80000,7514755,93,-16
add-yield-none,4,100000,800000,75700818,94,464
add-yield-none,8,10,160,286917,1793,5
add-yield-none,8,20,320,324653,1014,1
add-yield-none,8,40,640,284950,445,122
add-yield-none,8,80,1280,291096,227,169
add-yield-none,8,100,1600,364935,228,240
add-yield-none,8,1000,16000,1407349,87,180
add-yield-none,8,10000,160000,11571509,72,-1096
add-yield-none,8,100000,1600000,105556171,65,-1116
add-yield-none,12,10,240,376182,1567,4
add-yield-none,12,20,480,343936,716,8
add-yield-none,12,40,960,391773,408,56
add-yield-none,12,80,1920,402267,209,313
add-yield-none,12,100,2400,412653,171,262
add-yield-none,12,1000,24000,1850251,77,-155
add-yield-none,12,10000,240000,15617502,65,2438
add-yield-none,12,100000,2400000,162875231,67,-1126
add-none,2,10,40,119127,2978,0
add-none,8,10,160,300507,1878,0
add-yield-none,2,10,40,126253,3156,3
add-yield-none,8,10,160,233160,1457,0
add-none,2,20,80,119341,1491,0
add-none,8,20,320,222784,696,0
add-yield-none,2,20,80,137662,1720,0
add-yield-none,8,20,320,257062,803,7
add-none,2,40,160,95559,597,0
add-none,8,40,640,245976,384,0
add-yield-none,2,40,160,123743,773,-21
add-yield-none,8,40,640,249607,390,56
add-none,2,80,320,100993,315,0
add-none,8,80,1280,219508,171,0
add-yield-none,2,80,320,148554,464,25
add-yield-none,8,80,1280,277124,216,70
add-none,2,100,400,112562,281,0
add-none,8,100,1600,234707,146,0
add-yield-none,2,100,400,159860,399,-33
add-yield-none,8,100,1600,304032,190,60
add-none,2,1000,4000,116808,29,0
add-none,8,1000,16000,421518,26,1249
add-yield-none,2,1000,4000,782470,195,-58
add-yield-none,8,1000,16000,1491589,93,222
add-none,2,10000,40000,761823,19,-5188
add-none,8,10000,160000,3188517,19,-850
add-yield-none,2,10000,40000,7216990,180,-49
add-yield-none,8,10000,160000,10232774,63,160
add-none,2,100000,400000,6642650,16,-38573
add-none,8,100000,1600000,29160077,18,-3405
add-yield-none,2,100000,400000,72692702,181,-1354
add-yield-none,8,100000,1600000,112450337,70,-17189
add-none,1,100,200,119026,595,0
add-none,1,1000,2000,131136,65,0
add-none,1,10000,20000,233707,11,0
add-none,1,100000,200000,1468307,7,0
add-yield-m,2,10000,40000,16133682,403,0
add-yield-c,2,10000,40000,11290604,282,0
add-yield-s,2,1000,4000,1800243,450,0
add-yield-m,4,10000,80000,61053038,763,0
add-yield-c,4,10000,80000,38237615,477,0
add-yield-s,4,1000,8000,4742715,592,0
add-yield-m,8,10000,160000,169492338,1059,0
add-yield-c,8,10000,160000,95607518,597,0
add-yield-s,8,1000,16000,14259166,891,0
add-yield-m,12,10000,240000,254381820,1059,0
add-yield-c,12,10000,240000,136455433,568,0
add-yield-s,12,1000,24000,33095074,1378,0
add-none,1,10000,20000,222506,11,0
add-m,1,10000,20000,770679,38,0
add-s,1,10000,20000,395084,19,0
add-c,1,10000,20000,489239,24,0
add-none,2,10000,40000,650830,16,5332
add-m,2,10000,40000,3005770,75,0
add-s,2,10000,40000,5010438,125,0
add-c,2,10000,40000,3732312,93,0
add-none,4,10000,80000,1539578,19,-7604
add-m,4,10000,80000,15118168,188,0
add-s,4,10000,80000,30264881,378,0
add-c,4,10000,80000,9893175,123,0
add-none,8,10000,160000,3134884,19,-3598
add-m,8,10000,160000,28126616,175,0
add-s,8,10000,160000,124962818,781,0
add-c,8,10000,160000,35732059,223,0
add-none,12,10000,240000,4271586,17,-1904
add-m,12,10000,240000,35025141,145,0
add-s,12,10000,240000,269311395,1122,0
add-c,12,10000,240000,66182984,275,0
